white,byr,year,eligible,type,smplsz,var_cm,nomearn,cpi
0,51,81,0,TOTAL,44.968002,42235.441,12219.284,1.3940001
1,51,81,0,TAXAB,160.916,9900.9258,16528.439,1.3940001
0,52,81,0,TAXAB,33,27642.42,14171.673,1.3940001
1,51,81,0,ADJ,192.88499,12715.132,18027.689,1.3940001
1,51,81,0,TOTAL,184.011,28836.432,17668.795,1.3940001
1,52,81,0,ADJ,200.99899,9559.8574,15417.495,1.3940001
1,51,81,0,ADJ,194.089,11202.492,16541.979,1.3940001
1,52,81,1,ADJ,195.05,24593.949,14860.373,1.3940001
1,51,81,0,ADJ,215.992,11031.969,16610.072,1.3940001
1,51,81,0,ADJ,193.024,11618.384,15669.734,1.3940001
0,51,81,0,TOTAL,43.014,63414.348,15765.747,1.3940001
1,51,81,1,ADJ,189.104,23092.41,16174.538,1.3940001
1,51,81,0,TAXAB,163.92999,9359.1035,17365.078,1.3940001
0,51,81,0,TAXAB,55.968002,50754.129,15422.139,1.3940001
1,52,81,0,TOTAL,155.914,9347.8174,15524.464,1.3940001
1,52,81,0,TOTAL,172.996,10305.096,16317.771,1.3940001
1,52,81,1,TAXAB,185.88499,19974.453,15095.424,1.3940001
0,51,81,0,TOTAL,45,30440.83,13783.777,1.3940001
0,51,81,1,TOTAL,44.029999,122695.67,15316.201,1.3940001
0,52,81,0,TAXAB,54.990002,37472,15664.779,1.3940001
1,52,81,0,ADJ,191.114,9555.2822,16437.633,1.3940001
1,52,81,0,TOTAL,174.95999,22305.422,16835.459,1.3940001
0,51,81,0,TAXAB,55.007999,37276.457,13116.126,1.3940001
1,52,81,1,TOTAL,151.07599,30882.902,15155.91,1.3940001
0,51,81,1,ADJ,48.007999,79961.242,13972.78,1.3940001
1,51,81,0,ADJ,208.911,11103.828,16584.6,1.3940001
0,52,81,0,ADJ,50.996002,34998.82,13624.462,1.3940001
1,51,81,0,TOTAL,136.06799,11415.616,16537.496,1.3940001
1,50,81,0,ADJ,5838.4189,21146.447,17380.553,1.3940001
0,52,81,0,TAXAB,45.015999,25901.773,13128.083,1.3940001
1,52,81,1,TOTAL,181.97501,35148.695,15785.848,1.3940001
1,52,81,0,ADJ,152.995,10509.704,16070.701,1.3940001
0,52,81,0,ADJ,57.973999,50152.047,14341.451,1.3940001
1,51,81,0,TAXAB,146.959,9710.9727,16851.535,1.3940001
1,52,81,0,TAXAB,202.12,7948.4229,14239.668,1.3940001
0,51,81,0,TAXAB,35.990002,26013.293,12063.376,1.3940001
1,52,81,0,TOTAL,153.90601,23131.549,17554.213,1.3940001
1,52,81,0,ADJ,195,9857.1123,15384.185,1.3940001
0,52,81,0,TOTAL,40.001999,43485.156,12644.396,1.3940001
1,51,81,1,TOTAL,151,25868.367,16894.252,1.3940001
0,52,81,1,TOTAL,42.032001,90236.344,12874.829,1.3940001
